gridSize;blockSize;p;q;clocks;seconds
74;32;20921;20903;2075603;2,075603
76;32;20921;20903;2096562;2,096562
78;32;20921;20903;2120170;2,120170
80;32;20921;20903;2148168;2,148168
82;32;20921;20903;2169572;2,169572
84;32;20921;20903;2201636;2,201636
86;32;20921;20903;2231165;2,231165
88;32;20921;20903;2261206;2,261206
90;32;20921;20903;2291578;2,291578
92;32;20921;20903;2316671;2,316671
94;32;20921;20903;2351839;2,351839
96;32;20921;20903;2391537;2,391537
98;32;20921;20903;2418239;2,418239
100;32;20921;20903;2455271;2,455271
102;32;20921;20903;2490360;2,490360
104;32;20921;20903;2516428;2,516428
106;32;20921;20903;2552236;2,552236
108;32;20921;20903;2587735;2,587735
110;32;20921;20903;2624382;2,624382
112;32;20921;20903;2665153;2,665153
114;32;20921;20903;2699389;2,699389
116;32;20921;20903;2738615;2,738615
118;32;20921;20903;2779436;2,779436
120;32;20921;20903;2806549;2,806549
122;32;20921;20903;2844959;2,844959
124;32;20921;20903;2877472;2,877472
126;32;20921;20903;2918918;2,918918
128;32;20921;20903;2952519;2,952519
