gridSize;blockSize;p;q;clocks;seconds
2;32;20921;20903;989418;0,989418
2;64;20921;20903;730510;0,730510
2;96;20921;20903;686328;0,686328
2;128;20921;20903;703177;0,703177
2;160;20921;20903;732296;0,732296
2;192;20921;20903;776184;0,776184
2;224;20921;20903;830657;0,830657
2;256;20921;20903;923175;0,923175
2;288;20921;20903;1012623;1,012623
2;320;20921;20903;1081894;1,081894
2;352;20921;20903;1178457;1,178457
2;384;20921;20903;1271281;1,271281
2;416;20921;20903;1355716;1,355716
2;448;20921;20903;1436568;1,436568
2;480;20921;20903;1567797;1,567797
2;512;20921;20903;1637220;1,637220
2;544;20921;20903;1652327;1,652327
2;576;20921;20903;1663982;1,663982
2;608;20921;20903;1683768;1,683768
2;640;20921;20903;1700679;1,700679
2;672;20921;20903;1709833;1,709833
2;704;20921;20903;1730865;1,730865
2;736;20921;20903;1743515;1,743515
2;768;20921;20903;1771188;1,771188
2;800;20921;20903;1794038;1,794038
2;832;20921;20903;1807137;1,807137
2;864;20921;20903;1825192;1,825192
2;896;20921;20903;1856138;1,856138
2;928;20921;20903;1875718;1,875718
2;960;20921;20903;1907274;1,907274
2;992;20921;20903;1921113;1,921113
2;1024;20921;20903;1943386;1,943386
4;32;20921;20903;734059;0,734059
4;64;20921;20903;697632;0,697632
4;96;20921;20903;778031;0,778031
4;128;20921;20903;919165;0,919165
4;160;20921;20903;1080746;1,080746
4;192;20921;20903;1271347;1,271347
4;224;20921;20903;1433422;1,433422
4;256;20921;20903;1633499;1,633499
4;288;20921;20903;1670250;1,670250
4;320;20921;20903;1702159;1,702159
4;352;20921;20903;1731866;1,731866
4;384;20921;20903;1768337;1,768337
4;416;20921;20903;1808983;1,808983
4;448;20921;20903;1853171;1,853171
4;480;20921;20903;1905658;1,905658
4;512;20921;20903;1942592;1,942592
4;544;20921;20903;1996103;1,996103
4;576;20921;20903;2053799;2,053799
4;608;20921;20903;2105023;2,105023
4;640;20921;20903;2153060;2,153060
4;672;20921;20903;2198843;2,198843
4;704;20921;20903;2258873;2,258873
4;736;20921;20903;2316104;2,316104
4;768;20921;20903;2389510;2,389510
4;800;20921;20903;2456640;2,456640
4;832;20921;20903;2520269;2,520269
4;864;20921;20903;2591308;2,591308
4;896;20921;20903;2664927;2,664927
4;928;20921;20903;2734219;2,734219
4;960;20921;20903;2810409;2,810409
4;992;20921;20903;2881371;2,881371
4;1024;20921;20903;2951427;2,951427
6;32;20921;20903;683235;0,683235
6;64;20921;20903;774450;0,774450
6;96;20921;20903;1012604;1,012604
6;128;20921;20903;1271476;1,271476
6;160;20921;20903;1570463;1,570463
6;192;20921;20903;1667283;1,667283
6;224;20921;20903;1712471;1,712471
6;256;20921;20903;1767908;1,767908
6;288;20921;20903;1827029;1,827029
6;320;20921;20903;1902384;1,902384
6;352;20921;20903;1961106;1,961106
6;384;20921;20903;2048842;2,048842
6;416;20921;20903;2124576;2,124576
6;448;20921;20903;2201586;2,201586
6;480;20921;20903;2292800;2,292800
6;512;20921;20903;2389848;2,389848
6;544;20921;20903;2492198;2,492198
6;576;20921;20903;2591041;2,591041
6;608;20921;20903;2705553;2,705553
6;640;20921;20903;2813234;2,813234
6;672;20921;20903;2919171;2,919171
8;32;20921;20903;701935;0,701935
8;64;20921;20903;921875;0,921875
8;96;20921;20903;1271130;1,271130
8;128;20921;20903;1630513;1,630513
8;160;20921;20903;1701858;1,701858
8;192;20921;20903;1767955;1,767955
8;224;20921;20903;1853200;1,853200
8;256;20921;20903;1940174;1,940174
8;288;20921;20903;2052247;2,052247
8;320;20921;20903;2151590;2,151590
8;352;20921;20903;2259258;2,259258
8;384;20921;20903;2391143;2,391143
8;416;20921;20903;2520482;2,520482
8;448;20921;20903;2664506;2,664506
8;480;20921;20903;2807144;2,807144
8;512;20921;20903;2953398;2,953398
10;32;20921;20903;732481;0,732481
10;64;20921;20903;1080540;1,080540
10;96;20921;20903;1572998;1,572998
10;128;20921;20903;1699407;1,699407
10;160;20921;20903;1789805;1,789805
10;192;20921;20903;1905684;1,905684
10;224;20921;20903;2023284;2,023284
10;256;20921;20903;2150852;2,150852
10;288;20921;20903;2294591;2,294591
10;320;20921;20903;2459450;2,459450
10;352;20921;20903;2625653;2,625653
10;384;20921;20903;2808417;2,808417
12;32;20921;20903;774593;0,774593
12;64;20921;20903;1271440;1,271440
12;96;20921;20903;1670017;1,670017
12;128;20921;20903;1770687;1,770687
12;160;20921;20903;1902065;1,902065
12;192;20921;20903;2049620;2,049620
12;224;20921;20903;2203385;2,203385
12;256;20921;20903;2394852;2,394852
12;288;20921;20903;2590516;2,590516
12;320;20921;20903;2809972;2,809972
14;32;20921;20903;834175;0,834175
14;64;20921;20903;1436389;1,436389
14;96;20921;20903;1712872;1,712872
14;128;20921;20903;1855957;1,855957
14;160;20921;20903;2026068;2,026068
14;192;20921;20903;2199677;2,199677
14;224;20921;20903;2422649;2,422649
14;256;20921;20903;2664471;2,664471
14;288;20921;20903;2923972;2,923972
16;32;20921;20903;924617;0,924617
16;64;20921;20903;1630605;1,630605
16;96;20921;20903;1770806;1,770806
16;128;20921;20903;1940195;1,940195
16;160;20921;20903;2153930;2,153930
16;192;20921;20903;2394284;2,394284
16;224;20921;20903;2666403;2,666403
16;256;20921;20903;2955462;2,955462
18;32;20921;20903;1012108;1,012108
18;64;20921;20903;1673848;1,673848
18;96;20921;20903;1823890;1,823890
18;128;20921;20903;2051735;2,051735
18;160;20921;20903;2292062;2,292062
18;192;20921;20903;2592978;2,592978
18;224;20921;20903;2920309;2,920309
20;32;20921;20903;1086367;1,086367
20;64;20921;20903;1702188;1,702188
20;96;20921;20903;1902566;1,902566
20;128;20921;20903;2151717;2,151717
20;160;20921;20903;2461507;2,461507
20;192;20921;20903;2809393;2,809393
22;32;20921;20903;1173550;1,173550
22;64;20921;20903;1729770;1,729770
22;96;20921;20903;1961629;1,961629
22;128;20921;20903;2264428;2,264428
22;160;20921;20903;2627247;2,627247
24;32;20921;20903;1274354;1,274354
24;64;20921;20903;1768245;1,768245
24;96;20921;20903;2051528;2,051528
24;128;20921;20903;2392876;2,392876
24;160;20921;20903;2809267;2,809267
26;32;20921;20903;1364726;1,364726
26;64;20921;20903;1812799;1,812799
26;96;20921;20903;2122378;2,122378
26;128;20921;20903;2522198;2,522198
28;32;20921;20903;1433327;1,433327
28;64;20921;20903;1855679;1,855679
28;96;20921;20903;2200917;2,200917
28;128;20921;20903;2670147;2,670147
30;32;20921;20903;1568280;1,568280
30;64;20921;20903;1903152;1,903152
30;96;20921;20903;2293957;2,293957
30;128;20921;20903;2809786;2,809786
32;32;20921;20903;1633742;1,633742
32;64;20921;20903;1940674;1,940674
32;96;20921;20903;2393410;2,393410
32;128;20921;20903;2956246;2,956246
34;32;20921;20903;1649530;1,649530
34;64;20921;20903;1991362;1,991362
34;96;20921;20903;2488694;2,488694
36;32;20921;20903;1666606;1,666606
36;64;20921;20903;2054700;2,054700
36;96;20921;20903;2589429;2,589429
38;32;20921;20903;1685467;1,685467
38;64;20921;20903;2093397;2,093397
38;96;20921;20903;2705761;2,705761
40;32;20921;20903;1702095;1,702095
40;64;20921;20903;2148630;2,148630
40;96;20921;20903;2809955;2,809955
42;32;20921;20903;1710524;1,710524
42;64;20921;20903;2203263;2,203263
42;96;20921;20903;2920550;2,920550
44;32;20921;20903;1732006;1,732006
44;64;20921;20903;2260214;2,260214
46;32;20921;20903;1749683;1,749683
46;64;20921;20903;2323871;2,323871
48;32;20921;20903;1765506;1,765506
48;64;20921;20903;2393294;2,393294
50;32;20921;20903;1792118;1,792118
50;64;20921;20903;2460634;2,460634
52;32;20921;20903;1806584;1,806584
52;64;20921;20903;2522029;2,522029
54;32;20921;20903;1826858;1,826858
54;64;20921;20903;2590058;2,590058
56;32;20921;20903;1857434;1,857434
56;64;20921;20903;2003426;2,003426
58;32;20921;20903;1876566;1,876566
58;64;20921;20903;1009140;1,009140
60;32;20921;20903;1899617;1,899617
60;64;20921;20903;2815525;2,815525
62;32;20921;20903;1919751;1,919751
62;64;20921;20903;2882121;2,882121
64;32;20921;20903;1946088;1,946088
64;64;20921;20903;2958316;2,958316
66;32;20921;20903;1969061;1,969061
68;32;20921;20903;1997440;1,997440
70;32;20921;20903;2026973;2,026973
72;32;20921;20903;2055482;2,055482
74;32;20921;20903;2082146;2,082146
76;32;20921;20903;2103603;2,103603
78;32;20921;20903;2128128;2,128128
80;32;20921;20903;2157612;2,157612
82;32;20921;20903;2176261;2,176261
84;32;20921;20903;2205609;2,205609
86;32;20921;20903;2238323;2,238323
88;32;20921;20903;2263697;2,263697
90;32;20921;20903;2296800;2,296800
