gridSize;blockSize;p;q;clocks;seconds
2;32;20921;20903;992462;0,992462
2;64;20921;20903;728354;0,728354
2;96;20921;20903;686741;0,686741
2;128;20921;20903;701584;0,701584
2;160;20921;20903;738628;0,738628
2;192;20921;20903;772072;0,772072
2;224;20921;20903;837362;0,837362
2;256;20921;20903;927670;0,927670
2;288;20921;20903;1014817;1,014817
2;320;20921;20903;1086576;1,086576
2;352;20921;20903;1174680;1,174680
2;384;20921;20903;1277433;1,277433
2;416;20921;20903;1358993;1,358993
2;448;20921;20903;1439003;1,439003
2;480;20921;20903;1572736;1,572736
2;512;20921;20903;1625698;1,625698
2;544;20921;20903;1657070;1,657070
2;576;20921;20903;1673965;1,673965
2;608;20921;20903;1678864;1,678864
2;640;20921;20903;1706112;1,706112
2;672;20921;20903;1707640;1,707640
2;704;20921;20903;1736127;1,736127
2;736;20921;20903;1745035;1,745035
2;768;20921;20903;1774709;1,774709
2;800;20921;20903;1796481;1,796481
2;832;20921;20903;1807115;1,807115
2;864;20921;20903;1833586;1,833586
2;896;20921;20903;1851184;1,851184
2;928;20921;20903;1881786;1,881786
2;960;20921;20903;1900468;1,900468
2;992;20921;20903;1926445;1,926445
2;1024;20921;20903;1937726;1,937726
4;32;20921;20903;737143;0,737143
4;64;20921;20903;696410;0,696410
4;96;20921;20903;781000;0,781000
4;128;20921;20903;919276;0,919276
4;160;20921;20903;1086965;1,086965
4;192;20921;20903;1277652;1,277652
4;224;20921;20903;1430696;1,430696
4;256;20921;20903;1636635;1,636635
4;288;20921;20903;1673654;1,673654
4;320;20921;20903;1705719;1,705719
4;352;20921;20903;1726878;1,726878
4;384;20921;20903;1770437;1,770437
4;416;20921;20903;1815216;1,815216
4;448;20921;20903;1855167;1,855167
4;480;20921;20903;1908586;1,908586
4;512;20921;20903;1937331;1,937331
4;544;20921;20903;2000226;2,000226
4;576;20921;20903;2048819;2,048819
4;608;20921;20903;2104412;2,104412
4;640;20921;20903;2159697;2,159697
4;672;20921;20903;2196321;2,196321
4;704;20921;20903;2265131;2,265131
4;736;20921;20903;2314528;2,314528
4;768;20921;20903;2392012;2,392012
4;800;20921;20903;2462669;2,462669
4;832;20921;20903;2519125;2,519125
4;864;20921;20903;2594795;2,594795
4;896;20921;20903;2659802;2,659802
4;928;20921;20903;2740746;2,740746
4;960;20921;20903;2809684;2,809684
4;992;20921;20903;2884958;2,884958
4;1024;20921;20903;2956674;2,956674
6;32;20921;20903;685465;0,685465
6;64;20921;20903;781508;0,781508
6;96;20921;20903;1013734;1,013734
6;128;20921;20903;1277318;1,277318
6;160;20921;20903;1572407;1,572407
6;192;20921;20903;1669244;1,669244
6;224;20921;20903;1716148;1,716148
6;256;20921;20903;1774114;1,774114
6;288;20921;20903;1833786;1,833786
6;320;20921;20903;1900229;1,900229
6;352;20921;20903;1963099;1,963099
6;384;20921;20903;2054997;2,054997
6;416;20921;20903;2128163;2,128163
6;448;20921;20903;2196270;2,196270
6;480;20921;20903;2296264;2,296264
6;512;20921;20903;2387350;2,387350
6;544;20921;20903;2495864;2,495864
6;576;20921;20903;2588650;2,588650
6;608;20921;20903;2712374;2,712374
6;640;20921;20903;2810809;2,810809
6;672;20921;20903;2925279;2,925279
8;32;20921;20903;705305;0,705305
8;64;20921;20903;928079;0,928079
8;96;20921;20903;1268799;1,268799
8;128;20921;20903;1637099;1,637099
8;160;20921;20903;1696783;1,696783
8;192;20921;20903;1770664;1,770664
8;224;20921;20903;1859656;1,859656
8;256;20921;20903;1946446;1,946446
8;288;20921;20903;2055694;2,055694
8;320;20921;20903;2153124;2,153124
8;352;20921;20903;2265167;2,265167
8;384;20921;20903;2397383;2,397383
8;416;20921;20903;2520024;2,520024
8;448;20921;20903;2668050;2,668050
8;480;20921;20903;2813846;2,813846
8;512;20921;20903;2957219;2,957219
10;32;20921;20903;738631;0,738631
10;64;20921;20903;1083306;1,083306
10;96;20921;20903;1576566;1,576566
10;128;20921;20903;1705599;1,705599
10;160;20921;20903;1795984;1,795984
10;192;20921;20903;1904333;1,904333
10;224;20921;20903;2029808;2,029808
10;256;20921;20903;2148361;2,148361
10;288;20921;20903;2298097;2,298097
10;320;20921;20903;2461594;2,461594
10;352;20921;20903;2632218;2,632218
10;384;20921;20903;2805964;2,805964
12;32;20921;20903;781032;0,781032
12;64;20921;20903;1268813;1,268813
12;96;20921;20903;1669437;1,669437
12;128;20921;20903;1770263;1,770263
12;160;20921;20903;1904288;1,904288
12;192;20921;20903;2055779;2,055779
12;224;20921;20903;2207526;2,207526
12;256;20921;20903;2389704;2,389704
12;288;20921;20903;2596628;2,596628
12;320;20921;20903;2816315;2,816315
14;32;20921;20903;840211;0,840211
14;64;20921;20903;1430768;1,430768
14;96;20921;20903;1715597;1,715597
14;128;20921;20903;1855529;1,855529
14;160;20921;20903;2024949;2,024949
14;192;20921;20903;2207132;2,207132
14;224;20921;20903;2417664;2,417664
14;256;20921;20903;2670746;2,670746
14;288;20921;20903;2927522;2,927522
16;32;20921;20903;927851;0,927851
16;64;20921;20903;1628174;1,628174
16;96;20921;20903;1774368;1,774368
16;128;20921;20903;1946593;1,946593
16;160;20921;20903;2148377;2,148377
16;192;20921;20903;2398274;2,398274
16;224;20921;20903;2670133;2,670133
