gridSize;blockSize;p;q;clocks;seconds
2;32;20921;20903;989287;0,989287
2;64;20921;20903;731285;0,731285
2;96;20921;20903;684224;0,684224
2;128;20921;20903;700068;0,700068
2;160;20921;20903;735505;0,735505
2;192;20921;20903;772238;0,772238
2;224;20921;20903;834451;0,834451
2;256;20921;20903;921927;0,921927
2;288;20921;20903;1013131;1,013131
2;320;20921;20903;1083294;1,083294
2;352;20921;20903;1173366;1,173366
2;384;20921;20903;1274173;1,274173
2;416;20921;20903;1364168;1,364168
2;448;20921;20903;1435956;1,435956
2;480;20921;20903;1570989;1,570989
2;512;20921;20903;1629654;1,629654
2;544;20921;20903;1653323;1,653323
2;576;20921;20903;1670100;1,670100
2;608;20921;20903;1686207;1,686207
2;640;20921;20903;1697287;1,697287
2;672;20921;20903;1710182;1,710182
2;704;20921;20903;1732223;1,732223
2;736;20921;20903;1750430;1,750430
2;768;20921;20903;1768565;1,768565
2;800;20921;20903;1792567;1,792567
2;832;20921;20903;1812096;1,812096
2;864;20921;20903;1829863;1,829863
2;896;20921;20903;1856180;1,856180
2;928;20921;20903;1877876;1,877876
2;960;20921;20903;1902926;1,902926
2;992;20921;20903;1920212;1,920212
2;1024;20921;20903;1940032;1,940032
4;32;20921;20903;733405;0,733405
4;64;20921;20903;701657;0,701657
4;96;20921;20903;777407;0,777407
4;128;20921;20903;924181;0,924181
4;160;20921;20903;1083362;1,083362
4;192;20921;20903;1274099;1,274099
4;224;20921;20903;1433156;1,433156
4;256;20921;20903;1630519;1,630519
4;288;20921;20903;1667603;1,667603
4;320;20921;20903;1699549;1,699549
4;352;20921;20903;1729994;1,729994
4;384;20921;20903;1768185;1,768185
4;416;20921;20903;1809118;1,809118
4;448;20921;20903;1853141;1,853141
4;480;20921;20903;1903066;1,903066
4;512;20921;20903;1942431;1,942431
4;544;20921;20903;1996210;1,996210
4;576;20921;20903;2054917;2,054917
4;608;20921;20903;2102954;2,102954
4;640;20921;20903;2153059;2,153059
