41989;0,000004;211;199;0,154769;211;199
47053;0,000003;211;223;0,026044;211;223
50621;0,000067;223;227;0,049338;223;227
51983;0,000981;227;229;0,099858;227;229
53357;0,000036;233;229;0,043937;233;229
55687;0,000007;239;233;0,020364;239;233
67591;0,001413;263;257;0,143555;263;257
70747;0,001412;263;269;0,106283;263;269
77837;0,000012;281;277;0,033355;281;277
79523;0,000001;281;283;0,018835;281;283
82919;0,000110;283;293;0,041656;283;293
89951;0,000017;307;293;0,038658;307;293
95477;0,000008;307;311;0,017145;307;311
97343;0,000031;311;313;0,028990;311;313
1032247;0,064853;1019;1013;0,643034;1019;1013
1040399;0,065541;1019;1021;0,579118;1019;1021
1052651;0,000786;1031;1021;0,058540;1031;1021
1065023;0,000081;1033;1031;0,026871;1033;1031
1073287;0,000100;1033;1039;0,033737;1033;1039
1089911;0,001464;1049;1039;0,061881;1049;1039
1102499;0,001445;1049;1051;0,097495;1049;1051
1162003;0,003476;1087;1069;0,106474;1087;1069
1185917;0,000879;1091;1087;0,056250;1091;1087
1192463;0,000877;1091;1093;0,066078;1091;1093
5468279;0,000200;5003;1093;0,042841;5003;1093
25060027;0,000191;5003;5009;0,056991;5003;5009
25100099;0,002818;5011;5009;0,130404;5011;5009
25160231;0,002878;5011;5021;0,114852;5011;5021
25310897;0,007181;5039;5023;0,186555;5039;5023
25451989;0,006953;5039;5051;0,172818;5039;5051
25796237;0,001374;5081;5077;0,099588;5081;5077
25847047;0,001334;5081;5087;0,102721;5081;5087
26050807;0,000050;5107;5101;0,049879;5107;5101
26112091;0,000049;5107;5113;0,021787;5107;5113
26173447;0,000297;5113;5119;0,064021;5113;5119
26347493;0,000430;5147;5119;0,077297;5147;5119
26522491;0,000420;5147;5153;0,071425;5147;5153
26625551;0,000072;5167;5153;0,050726;5167;5153
26718557;0,000072;5167;5171;0,018500;5167;5171
26780609;0,000111;5171;5179;0,050736;5171;5179
26873831;0,295837;5179;5189;1,825485;5179;5189
27071173;0,000032;5209;5197;0,040104;5209;5197
27227443;0,000034;5209;5227;0,011129;5209;5227
52306589;0,000256;5227;10007;0,064119;5227;10007
100761443;0,008000;10039;10037;0,153137;10039;10037
101002379;0,007881;10039;10061;0,193271;10039;10061
101284087;0,176712;10067;10061;1,161333;10067;10061
101364623;0,175911;10067;10069;1,219704;10067;10069
101707189;0,459682;10091;10079;2,588465;10091;10079
101848463;0,457400;10091;10093;2,584197;10091;10093
102151433;0,020387;10111;10103;0,322798;10111;10103
102454763;0,020768;10111;10133;0,268742;10111;10133
102738487;0,001674;10139;10133;0,081634;10139;10133
102819599;0,001672;10139;10141;0,107672;10139;10141
153297743;0,473559;10211;15013;2,587254;10211;15013
227014453;0,002430;15073;15061;0,096804;15073;15061
227255621;0,002432;15073;15077;0,117902;15073;15077
227617553;0,065190;15091;15083;0,633032;15091;15083
227889191;0,064591;15091;15101;0,619549;15091;15101
228130807;0,000453;15107;15101;0,067679;15107;15101
228432947;0,000452;15107;15121;0,072045;15107;15121
228795851;0,000538;15131;15121;0,074356;15131;15121
229037947;0,000540;15131;15137;0,073595;15131;15137
230736091;0,005530;15193;15187;0,166310;15193;15187
230918407;0,002101;15199;15193;0,072124;15199;15193
231283183;0,002103;15199;15217;0,112655;15199;15217
231709259;0,020012;15227;15217;0,263709;15227;15217
231952891;0,019842;15227;15233;0,315043;15227;15233
304827563;0,000029;20011;15233;0,046004;20011;15233
400640231;0,000031;20011;20021;0,030956;20011;20021
400880483;0,000313;20023;20021;0,041170;20023;20021
401040667;0,000290;20023;20029;0,070495;20023;20029
401521363;0,010079;20047;20029;0,208334;20047;20029
401962397;0,009921;20047;20051;0,203888;20047;20051
402283213;1,259471;20063;20051;5,721169;20063;20051
402684473;1,258848;20063;20071;5,679902;20063;20071
404412091;0,037949;20113;20107;0,475061;20113;20107
404613221;0,038393;20113;20117;0,407740;20113;20117
405458447;0,027619;20143;20129;0,355424;20143;20129
405821021;0,027563;20143;20147;0,368604;20143;20147
405941903;1,271129;20147;20149;5,642156;20147;20149
408444019;0,354912;20219;20201;2,073979;20219;20201
505737847;0,356091;20219;25013;2,085114;20219;25013
