1;32;25087;25097;49660;0.049660
1;64;25087;25097;46541;0.046541
1;96;25087;25097;56944;0.056944
1;128;25087;25097;67637;0.067637
1;160;25087;25097;80528;0.080528
1;192;25087;25097;89311;0.089311
1;224;25087;25097;100588;0.100588
1;256;25087;25097;121794;0.121794
1;288;25087;25097;138259;0.138259
1;320;25087;25097;156272;0.156272
1;352;25087;25097;183282;0.183282
1;384;25087;25097;199983;0.199983
1;416;25087;25097;221902;0.221902
1;448;25087;25097;236985;0.236985
1;480;25087;25097;260815;0.260815
1;512;25087;25097;297535;0.297535
1;544;25087;25097;325499;0.325499
1;576;25087;25097;354944;0.354944
1;608;25087;25097;378830;0.378830
1;640;25087;25097;410371;0.410371
1;672;25087;25097;433520;0.433520
1;704;25087;25097;464781;0.464781
1;736;25087;25097;496809;0.496809
1;768;25087;25097;538150;0.538150
1;800;25087;25097;575899;0.575899
1;832;25087;25097;605204;0.605204
1;864;25087;25097;641214;0.641214
1;896;25087;25097;672637;0.672637
1;928;25087;25097;737628;0.737628
1;960;25087;25097;779863;0.779863
1;992;25087;25097;830218;0.830218
1;1024;25087;25097;865947;0.865947
2;32;25087;25097;50262;0.050262
2;64;25087;25097;67008;0.067008
2;96;25087;25097;89808;0.089808
2;128;25087;25097;121636;0.121636
2;160;25087;25097;156127;0.156127
2;192;25087;25097;199800;0.199800
2;224;25087;25097;236768;0.236768
2;256;25087;25097;297462;0.297462
2;288;25087;25097;354072;0.354072
2;320;25087;25097;410258;0.410258
2;352;25087;25097;465069;0.465069
2;384;25087;25097;537263;0.537263
2;416;25087;25097;608718;0.608718
2;448;25087;25097;675204;0.675204
2;480;25087;25097;783391;0.783391
2;512;25087;25097;869243;0.869243
2;544;25087;25097;939340;0.939340
2;576;25087;25097;1035420;1.035420
2;608;25087;25097;1169978;1.169978
2;640;25087;25097;1217342;1.217342
2;672;25087;25097;1344049;1.344049
2;704;25087;25097;1451318;1.451318
2;736;25087;25097;1590612;1.590612
2;768;25087;25097;1712348;1.712348
2;800;25087;25097;1832159;1.832159
2;832;25087;25097;1937005;1.937005
2;864;25087;25097;2061530;2.061530
2;896;25087;25097;2203636;2.203636
2;928;25087;25097;2307069;2.307069
2;960;25087;25097;2496940;2.496940
2;992;25087;25097;2636249;2.636249
2;1024;25087;25097;2805869;2.805869
