gridSize;blockSize;p;q;clocks;seconds
1;32;25087;25097;60896;0.060896
1;64;25087;25097;57641;0.057641
1;96;25087;25097;65299;0.065299
1;128;25087;25097;76720;0.076720
1;160;25087;25097;94017;0.094017
1;192;25087;25097;100394;0.100394
1;224;25087;25097;115520;0.115520
1;256;25087;25097;128776;0.128776
1;288;25087;25097;148343;0.148343
1;320;25087;25097;166995;0.166995
1;352;25087;25097;186777;0.186777
1;384;25087;25097;205648;0.205648
1;416;25087;25097;225655;0.225655
1;448;25087;25097;232873;0.232873
1;480;25087;25097;261467;0.261467
1;512;25087;25097;298014;0.298014
1;544;25087;25097;321894;0.321894
1;576;25087;25097;354780;0.354780
1;608;25087;25097;375610;0.375610
1;640;25087;25097;405997;0.405997
1;672;25087;25097;437909;0.437909
1;704;25087;25097;464962;0.464962
1;736;25087;25097;500682;0.500682
1;768;25087;25097;534893;0.534893
1;800;25087;25097;572558;0.572558
1;832;25087;25097;608392;0.608392
1;864;25087;25097;641821;0.641821
1;896;25087;25097;672048;0.672048
1;928;25087;25097;733779;0.733779
1;960;25087;25097;782998;0.782998
1;992;25087;25097;827539;0.827539
1;1024;25087;25097;865379;0.865379
2;32;25087;25097;46252;0.046252
2;64;25087;25097;66981;0.066981
2;96;25087;25097;89653;0.089653
2;128;25087;25097;116371;0.116371
2;160;25087;25097;157925;0.157925
2;192;25087;25097;200148;0.200148
2;224;25087;25097;236575;0.236575
2;256;25087;25097;296568;0.296568
2;288;25087;25097;350592;0.350592
2;320;25087;25097;410734;0.410734
2;352;25087;25097;465040;0.465040
2;384;25087;25097;538939;0.538939
2;416;25087;25097;607716;0.607716
2;448;25087;25097;671739;0.671739
2;480;25087;25097;783299;0.783299
2;512;25087;25097;869252;0.869252
2;544;25087;25097;935896;0.935896
2;576;25087;25097;1035910;1.035910
2;608;25087;25097;1165960;1.165960
2;640;25087;25097;1213251;1.213251
2;672;25087;25097;1336846;1.336846
2;704;25087;25097;1455926;1.455926
2;736;25087;25097;1589335;1.589335
2;768;25087;25097;1711934;1.711934
2;800;25087;25097;1831467;1.831467
2;832;25087;25097;1934081;1.934081
2;864;25087;25097;2057188;2.057188
2;896;25087;25097;2208640;2.208640
2;928;25087;25097;2307385;2.307385
2;960;25087;25097;2494119;2.494119
2;992;25087;25097;2636214;2.636214
2;1024;25087;25097;2801684;2.801684
4;32;25087;25097;67955;0.067955
4;64;25087;25097;121502;0.121502
4;96;25087;25097;196545;0.196545
4;128;25087;25097;294055;0.294055
4;160;25087;25097;410670;0.410670
4;192;25087;25097;537931;0.537931
4;224;25087;25097;673077;0.673077
4;256;25087;25097;869048;0.869048
4;288;25087;25097;1033114;1.033114
4;320;25087;25097;1213391;1.213391
4;352;25087;25097;1455593;1.455593
4;384;25087;25097;1713261;1.713261
4;416;25087;25097;1932244;1.932244
4;448;25087;25097;2207343;2.207343
4;480;25087;25097;2497655;2.497655
4;512;25087;25097;2801925;2.801925
4;544;25087;25097;3091240;3.091240
4;576;25087;25097;3457739;3.457739
4;608;25087;25097;3760629;3.760629
4;640;25087;25097;4098728;4.098728
4;672;25087;25097;4565881;4.565881
4;704;25087;25097;4961094;4.961094
4;736;25087;25097;5328300;5.328300
4;768;25087;25097;5629616;5.629616
4;800;25087;25097;5864261;5.864261
4;832;25087;25097;6126727;6.126727
4;864;25087;25097;6438081;6.438081
4;896;25087;25097;6723819;6.723819
4;928;25087;25097;7005782;7.005782
4;960;25087;25097;4334432;4.334432
4;992;25087;25097;44620005;44.620005
4;1024;1;629608439;7391633;7.391633
8;32;1;629608439;906;0.000906
8;64;1;629608439;907;0.000907
8;96;1;629608439;907;0.000907
