41989;0.000004;0.101192;211;199;
47053;0.000003;0.018049;211;223;
50621;0.000057;0.050212;223;227;
51983;0.000970;0.127218;227;229;
53357;0.000027;0.038901;233;229;
55687;0.000009;0.013899;239;233;
67591;0.001465;0.142269;263;257;
70747;0.001437;0.104962;263;269;
77837;0.000002;0.032068;281;277;
79523;0.000011;0.011838;281;283;
82919;0.000128;0.044275;283;293;
89951;0.000009;0.033691;307;293;
95477;0.000007;0.011214;307;311;
97343;0.000030;0.030982;311;313;
1032247;0.065865;0.662752;1019;1013;
1040399;0.065017;0.581562;1019;1021;
1052651;0.000750;0.058674;1031;1021;
1065023;0.000090;0.021184;1033;1031;
1073287;0.000108;0.033963;1033;1039;
1089911;0.001467;0.056461;1049;1039;
1102499;0.001531;0.092141;1049;1051;
1162003;0.003713;0.103567;1087;1069;
1185917;0.000880;0.050505;1091;1087;
1192463;0.000901;0.060264;1091;1093;
5468279;0.000184;0.037228;5003;1093;
25060027;0.000208;0.057877;5003;5009;
25100099;0.003157;0.126536;5011;5009;
25160231;0.003103;0.110907;5011;5021;
25310897;0.007331;0.186616;5039;5023;
25451989;0.007230;0.172907;5039;5051;
25796237;0.001411;0.100045;5081;5077;
25847047;0.001336;0.103645;5081;5087;
25938613;6.427539;12.080830;5087;5099;
26009999;6.497345;0.000886;5099;5101;
26050807;0.000061;0.000844;5107;5101;
26112091;0.000068;0.000850;5107;5113;
26173447;0.000305;0.000902;5113;5119;
26347493;0.000454;0.000904;5147;5119;
26522491;0.000452;0.000895;5147;5153;
26625551;0.000093;0.000857;5167;5153;
26718557;0.000093;0.000834;5167;5171;
26780609;0.000121;0.000838;5171;5179;
26873831;0.294265;0.000827;5179;5189;
27071173;0.000031;0.000867;5209;5197;
27227443;0.000042;0.000842;5209;5227;
52306589;0.000269;0.000888;5227;10007;
100160063;45.242244;0.000830;10007;10009;
100761443;0.007839;0.000890;10039;10037;
101002379;0.007761;0.000887;10039;10061;
101284087;0.176101;0.000894;10067;10061;
101364623;0.175913;0.000888;10067;10069;
101485451;46.094180;0.000831;10079;10069;
101707189;0.460428;0.000889;10091;10079;
101848463;0.461000;0.000888;10091;10093;
102030197;46.343561;0.000830;10103;10099;
102151433;0.020489;0.000877;10111;10103;
102454763;0.021019;0.000859;10111;10133;
102738487;0.001734;0.000963;10139;10133;
102819599;0.001678;0.000883;10139;10141;
103245917;2.020761;0.000826;10159;10163;
103347547;47.904394;0.000831;10163;10169;
104080723;0.487023;0.000831;10211;10193;
153297743;0.492438;0.000832;10211;15013;
225450221;2.783506;0.000830;15017;15013;
225720527;2.743246;0.000864;15017;15031;
227014453;0.002430;0.000896;15073;15061;
227255621;0.002441;0.000887;15073;15077;
227617553;0.064467;0.000825;15091;15083;
227889191;0.064483;0.000867;15091;15101;
228130807;0.000462;0.000820;15107;15101;
228432947;0.000459;0.000821;15107;15121;
228795851;0.000544;0.000820;15131;15121;
229037947;0.000549;0.000883;15131;15137;
230432351;6.539442;0.000887;15187;15173;
230736091;0.005728;0.000919;15193;15187;
230918407;0.002108;0.000889;15199;15193;
231283183;0.002111;0.000900;15199;15217;
231709259;0.019979;0.000890;15227;15217;
231952891;0.020284;0.000898;15227;15233;
304827563;0.000029;0.000900;20011;15233;
400640231;0.000040;0.000852;20011;20021;
400880483;0.000313;0.000887;20023;20021;
401040667;0.000317;0.000884;20023;20029;
401521363;0.009947;0.000920;20047;20029;
401962397;0.010250;0.000920;20047;20051;
402283213;1.272184;0.000895;20063;20051;
402684473;1.316962;0.000865;20063;20071;
404412091;0.039636;0.000907;20113;20107;
404613221;0.038975;0.000883;20113;20117;
405458447;0.028861;0.000905;20143;20129;
405821021;0.029435;0.000957;20143;20147;
405941903;1.319553;0.000872;20147;20149;
408444019;0.360520;0.000947;20219;20201;
505737847;0.367609;0.000880;20219;25013;
626100403;6.417829;0.000940;25031;25013;
626601023;0.002396;0.000956;25033;25031;
626751221;0.002171;0.001069;25033;25037;
629006351;0.001074;0.000920;25087;25073;
629608439;0.001083;0.000918;25087;25097;
630964157;0.002620;0.000978;25121;25117;
631215367;0.002560;0.000917;25121;25127;
631868669;0.197817;0.000898;25127;25147;
632924939;0.084177;0.000871;25163;25153;
633327547;0.083741;0.000907;25163;25169;
633528899;0.289168;0.000831;25171;25169;
633881293;0.282705;0.000827;25171;25183;
637057591;0.112002;0.001000;25243;25237;
637310021;0.107179;0.000888;25243;25247;
