gridSize;blockSize;p;q;clocks;seconds
2;32;20921;20903;992490;0,992490
2;64;20921;20903;736812;0,736812
2;96;20921;20903;684842;0,684842
2;128;20921;20903;704513;0,704513
2;160;20921;20903;733736;0,733736
2;192;20921;20903;779921;0,779921
2;224;20921;20903;839417;0,839417
2;256;20921;20903;927342;0,927342
2;288;20921;20903;1017792;1,017792
2;320;20921;20903;1082233;1,082233
2;352;20921;20903;1178841;1,178841
2;384;20921;20903;1277107;1,277107
2;416;20921;20903;1367092;1,367092
2;448;20921;20903;1442596;1,442596
2;480;20921;20903;1568284;1,568284
2;512;20921;20903;1636123;1,636123
2;544;20921;20903;1656447;1,656447
2;576;20921;20903;1673272;1,673272
2;608;20921;20903;1687015;1,687015
2;640;20921;20903;1701095;1,701095
2;672;20921;20903;1715692;1,715692
2;704;20921;20903;1735302;1,735302
2;736;20921;20903;1752973;1,752973
2;768;20921;20903;1773789;1,773789
2;800;20921;20903;1796065;1,796065
2;832;20921;20903;1810961;1,810961
2;864;20921;20903;1833171;1,833171
2;896;20921;20903;1859081;1,859081
2;928;20921;20903;1881116;1,881116
2;960;20921;20903;1908716;1,908716
2;992;20921;20903;1924764;1,924764
2;1024;20921;20903;1945720;1,945720
4;32;20921;20903;736545;0,736545
4;64;20921;20903;700368;0,700368
4;96;20921;20903;776112;0,776112
4;128;20921;20903;927158;0,927158
4;160;20921;20903;1082010;1,082010
4;192;20921;20903;1276708;1,276708
4;224;20921;20903;1438885;1,438885
4;256;20921;20903;1636088;1,636088
4;288;20921;20903;1672768;1,672768
4;320;20921;20903;1709331;1,709331
4;352;20921;20903;1734820;1,734820
4;384;20921;20903;1773603;1,773603
4;416;20921;20903;1814853;1,814853
4;448;20921;20903;1862440;1,862440
4;480;20921;20903;1899981;1,899981
4;512;20921;20903;1941047;1,941047
4;544;20921;20903;1999667;1,999667
4;576;20921;20903;2057153;2,057153
4;608;20921;20903;2108057;2,108057
4;640;20921;20903;2158707;2,158707
4;672;20921;20903;2204385;2,204385
4;704;20921;20903;2260223;2,260223
4;736;20921;20903;2323040;2,323040
4;768;20921;20903;2395308;2,395308
4;800;20921;20903;2458398;2,458398
4;832;20921;20903;2527074;2,527074
4;864;20921;20903;2594062;2,594062
4;896;20921;20903;2663962;2,663962
4;928;20921;20903;2739965;2,739965
4;960;20921;20903;2809261;2,809261
4;992;20921;20903;2884329;2,884329
4;1024;20921;20903;2957058;2,957058
6;32;20921;20903;689089;0,689089
6;64;20921;20903;780394;0,780394
6;96;20921;20903;1013801;1,013801
6;128;20921;20903;1276684;1,276684
6;160;20921;20903;1572135;1,572135
6;192;20921;20903;1668771;1,668771
6;224;20921;20903;1715263;1,715263
6;256;20921;20903;1773870;1,773870
6;288;20921;20903;1828550;1,828550
6;320;20921;20903;1907974;1,907974
6;352;20921;20903;1966791;1,966791
6;384;20921;20903;2054446;2,054446
6;416;20921;20903;2127322;2,127322
6;448;20921;20903;2204228;2,204228
6;480;20921;20903;2294944;2,294944
6;512;20921;20903;2395416;2,395416
6;544;20921;20903;2490996;2,490996
6;576;20921;20903;2596671;2,596671
6;608;20921;20903;2707140;2,707140
6;640;20921;20903;2818730;2,818730
6;672;20921;20903;2924861;2,924861
8;32;20921;20903;705028;0,705028
8;64;20921;20903;927483;0,927483
8;96;20921;20903;1272863;1,272863
8;128;20921;20903;1636253;1,636253
8;160;20921;20903;1704817;1,704817
8;192;20921;20903;1773975;1,773975
8;224;20921;20903;1859159;1,859159
8;256;20921;20903;1946001;1,946001
8;288;20921;20903;2055177;2,055177
8;320;20921;20903;2157237;2,157237
8;352;20921;20903;2265497;2,265497
8;384;20921;20903;2396749;2,396749
8;416;20921;20903;2523576;2,523576
8;448;20921;20903;2667723;2,667723
8;480;20921;20903;2813217;2,813217
8;512;20921;20903;2956784;2,956784
10;32;20921;20903;738073;0,738073
10;64;20921;20903;1086120;1,086120
10;96;20921;20903;1571775;1,571775
10;128;20921;20903;1709203;1,709203
10;160;20921;20903;1787211;1,787211
10;192;20921;20903;1908140;1,908140
10;224;20921;20903;2028990;2,028990
10;256;20921;20903;2151788;2,151788
10;288;20921;20903;2297353;2,297353
10;320;20921;20903;2460875;2,460875
10;352;20921;20903;2631519;2,631519
10;384;20921;20903;2814066;2,814066
12;32;20921;20903;780401;0,780401
12;64;20921;20903;1276878;1,276878
12;96;20921;20903;1672843;1,672843
12;128;20921;20903;1769536;1,769536
12;160;20921;20903;1907738;1,907738
12;192;20921;20903;2050608;2,050608
