gridSize;blockSize;p;q;clocks;seconds
2;32;20921;20903;988568;0.988568
2;64;20921;20903;737715;0.737715
2;96;20921;20903;690422;0.690422
2;128;20921;20903;706033;0.706033
2;160;20921;20903;737720;0.737720
2;192;20921;20903;773522;0.773522
2;224;20921;20903;835503;0.835503
2;256;20921;20903;928687;0.928687
2;288;20921;20903;1013983;1.013983
2;320;20921;20903;1084623;1.084623
2;352;20921;20903;1180358;1.180358
2;384;20921;20903;1278231;1.278231
2;416;20921;20903;1367309;1.367309
2;448;20921;20903;1440774;1.440774
2;480;20921;20903;1572593;1.572593
2;512;20921;20903;1636790;1.636790
2;544;20921;20903;1653798;1.653798
2;576;20921;20903;1671476;1.671476
2;608;20921;20903;1683690;1.683690
2;640;20921;20903;1706410;1.706410
2;672;20921;20903;1717033;1.717033
2;704;20921;20903;1736243;1.736243
2;736;20921;20903;1751840;1.751840
2;768;20921;20903;1769909;1.769909
2;800;20921;20903;1797304;1.797304
2;832;20921;20903;1816590;1.816590
2;864;20921;20903;1833380;1.833380
2;896;20921;20903;1860562;1.860562
2;928;20921;20903;1880641;1.880641
2;960;20921;20903;1907074;1.907074
2;992;20921;20903;1922513;1.922513
2;1024;20921;20903;1947375;1.947375
4;32;20921;20903;741780;0.741780
4;64;20921;20903;696733;0.696733
4;96;20921;20903;780520;0.780520
4;128;20921;20903;928522;0.928522
4;160;20921;20903;1086312;1.086312
4;192;20921;20903;1282042;1.282042
4;224;20921;20903;1431847;1.431847
4;256;20921;20903;1632060;1.632060
4;288;20921;20903;1674012;1.674012
4;320;20921;20903;1706452;1.706452
4;352;20921;20903;1736364;1.736364
4;384;20921;20903;1774855;1.774855
4;416;20921;20903;1818633;1.818633
4;448;20921;20903;1852193;1.852193
4;480;20921;20903;1909687;1.909687
4;512;20921;20903;1946813;1.946813
4;544;20921;20903;2000719;2.000719
4;576;20921;20903;2058104;2.058104
4;608;20921;20903;2113531;2.113531
4;640;20921;20903;2151711;2.151711
4;672;20921;20903;2205510;2.205510
4;704;20921;20903;2265967;2.265967
4;736;20921;20903;2321398;2.321398
4;768;20921;20903;2395123;2.395123
