gridSize;blockSize;p;q;clocks;seconds
2;32;20921;20903;993212;0,993212
2;64;20921;20903;737776;0,737776
2;96;20921;20903;686837;0,686837
2;128;20921;20903;704487;0,704487
2;160;20921;20903;739222;0,739222
2;192;20921;20903;781720;0,781720
2;224;20921;20903;841082;0,841082
2;256;20921;20903;927453;0,927453
2;288;20921;20903;1019015;1,019015
2;320;20921;20903;1086315;1,086315
2;352;20921;20903;1181620;1,181620
2;384;20921;20903;1276670;1,276670
2;416;20921;20903;1368286;1,368286
2;448;20921;20903;1443216;1,443216
2;480;20921;20903;1568320;1,568320
2;512;20921;20903;1635420;1,635420
2;544;20921;20903;1655813;1,655813
2;576;20921;20903;1675313;1,675313
2;608;20921;20903;1683298;1,683298
2;640;20921;20903;1705459;1,705459
2;672;20921;20903;1715749;1,715749
2;704;20921;20903;1733506;1,733506
2;736;20921;20903;1750250;1,750250
2;768;20921;20903;1775113;1,775113
2;800;20921;20903;1795738;1,795738
2;832;20921;20903;1814023;1,814023
2;864;20921;20903;1835979;1,835979
2;896;20921;20903;1862298;1,862298
2;928;20921;20903;1882581;1,882581
2;960;20921;20903;1909661;1,909661
2;992;20921;20903;1928095;1,928095
2;1024;20921;20903;1945822;1,945822
4;32;20921;20903;737494;0,737494
4;64;20921;20903;701768;0,701768
4;96;20921;20903;775955;0,775955
4;128;20921;20903;924673;0,924673
4;160;20921;20903;1086300;1,086300
4;192;20921;20903;1282784;1,282784
4;224;20921;20903;1431835;1,431835
4;256;20921;20903;1637663;1,637663
4;288;20921;20903;1670285;1,670285
4;320;20921;20903;1704752;1,704752
4;352;20921;20903;1732059;1,732059
4;384;20921;20903;1775351;1,775351
4;416;20921;20903;1816085;1,816085
4;448;20921;20903;1857004;1,857004
4;480;20921;20903;1908107;1,908107
4;512;20921;20903;1943903;1,943903
4;544;20921;20903;2000997;2,000997
4;576;20921;20903;2058495;2,058495
4;608;20921;20903;2110464;2,110464
4;640;20921;20903;2159931;2,159931
4;672;20921;20903;2205503;2,205503
4;704;20921;20903;2261591;2,261591
4;736;20921;20903;2322396;2,322396
4;768;20921;20903;2395167;2,395167
4;800;20921;20903;2460949;2,460949
4;832;20921;20903;2524435;2,524435
4;864;20921;20903;2594305;2,594305
4;896;20921;20903;2670681;2,670681
4;928;20921;20903;2742340;2,742340
4;960;20921;20903;2814856;2,814856
4;992;20921;20903;2889433;2,889433
4;1024;20921;20903;2958382;2,958382
6;32;20921;20903;691369;0,691369
6;64;20921;20903;780373;0,780373
6;96;20921;20903;1022426;1,022426
6;128;20921;20903;1278154;1,278154
6;160;20921;20903;1577654;1,577654
6;192;20921;20903;1674265;1,674265
6;224;20921;20903;1716633;1,716633
6;256;20921;20903;1775252;1,775252
6;288;20921;20903;1833880;1,833880
6;320;20921;20903;1905674;1,905674
6;352;20921;20903;1969067;1,969067
6;384;20921;20903;2055826;2,055826
6;416;20921;20903;2128916;2,128916
6;448;20921;20903;2205550;2,205550
6;480;20921;20903;2296686;2,296686
6;512;20921;20903;2395265;2,395265
6;544;20921;20903;2494630;2,494630
6;576;20921;20903;2598352;2,598352
6;608;20921;20903;2713641;2,713641
6;640;20921;20903;2821386;2,821386
6;672;20921;20903;2921998;2,921998
8;32;20921;20903;707559;0,707559
8;64;20921;20903;927332;0,927332
8;96;20921;20903;1278188;1,278188
8;128;20921;20903;1637719;1,637719
8;160;20921;20903;1706473;1,706473
8;192;20921;20903;1775220;1,775220
8;224;20921;20903;1860370;1,860370
8;256;20921;20903;1947211;1,947211
8;288;20921;20903;2056627;2,056627
8;320;20921;20903;2159769;2,159769
8;352;20921;20903;2266462;2,266462
8;384;20921;20903;2398080;2,398080
8;416;20921;20903;2524863;2,524863
8;448;20921;20903;2667377;2,667377
8;480;20921;20903;2810119;2,810119
8;512;20921;20903;2958110;2,958110
10;32;20921;20903;740447;0,740447
10;64;20921;20903;1082189;1,082189
10;96;20921;20903;1577905;1,577905
10;128;20921;20903;1705068;1,705068
10;160;20921;20903;1796378;1,796378
10;192;20921;20903;1909709;1,909709
10;224;20921;20903;2030440;2,030440
10;256;20921;20903;2157597;2,157597
10;288;20921;20903;2299563;2,299563
10;320;20921;20903;2466420;2,466420
10;352;20921;20903;2629827;2,629827
10;384;20921;20903;2813978;2,813978
12;32;20921;20903;777202;0,777202
12;64;20921;20903;1276827;1,276827
12;96;20921;20903;1668972;1,668972
12;128;20921;20903;1774988;1,774988
12;160;20921;20903;1909124;1,909124
12;192;20921;20903;2055962;2,055962
12;224;20921;20903;2204569;2,204569
12;256;20921;20903;2399031;2,399031
12;288;20921;20903;2597246;2,597246
12;320;20921;20903;2810124;2,810124
14;32;20921;20903;840970;0,840970
14;64;20921;20903;1436180;1,436180
14;96;20921;20903;1716781;1,716781
14;128;20921;20903;1860311;1,860311
14;160;20921;20903;2030190;2,030190
14;192;20921;20903;2207391;2,207391
14;224;20921;20903;2432715;2,432715
14;256;20921;20903;2663403;2,663403
14;288;20921;20903;2929155;2,929155
16;32;20921;20903;928506;0,928506
16;64;20921;20903;1638088;1,638088
16;96;20921;20903;1773825;1,773825
16;128;20921;20903;1947196;1,947196
16;160;20921;20903;2153790;2,153790
16;192;20921;20903;2393993;2,393993
16;224;20921;20903;2669522;2,669522
16;256;20921;20903;2960200;2,960200
18;32;20921;20903;1023726;1,023726
18;64;20921;20903;1666159;1,666159
18;96;20921;20903;1833931;1,833931
18;128;20921;20903;2057267;2,057267
18;160;20921;20903;2298942;2,298942
18;192;20921;20903;2596917;2,596917
18;224;20921;20903;2927762;2,927762
20;32;20921;20903;1086213;1,086213
20;64;20921;20903;1705195;1,705195
20;96;20921;20903;1909419;1,909419
20;128;20921;20903;2153934;2,153934
20;160;20921;20903;2464661;2,464661
20;192;20921;20903;2812954;2,812954
22;32;20921;20903;1178889;1,178889
22;64;20921;20903;1730989;1,730989
22;96;20921;20903;1964147;1,964147
22;128;20921;20903;2268359;2,268359
22;160;20921;20903;2634399;2,634399
24;32;20921;20903;1275974;1,275974
24;64;20921;20903;1774987;1,774987
24;96;20921;20903;2052151;2,052151
24;128;20921;20903;2398131;2,398131
24;160;20921;20903;2814475;2,814475
26;32;20921;20903;1367365;1,367365
26;64;20921;20903;1813917;1,813917
26;96;20921;20903;2129214;2,129214
26;128;20921;20903;2526708;2,526708
28;32;20921;20903;1438589;1,438589
28;64;20921;20903;1859373;1,859373
28;96;20921;20903;2207057;2,207057
28;128;20921;20903;2671717;2,671717
30;32;20921;20903;1576360;1,576360
30;64;20921;20903;1908501;1,908501
30;96;20921;20903;2298009;2,298009
30;128;20921;20903;2814025;2,814025
32;32;20921;20903;1636093;1,636093
32;64;20921;20903;1943233;1,943233
32;96;20921;20903;2399738;2,399738
32;128;20921;20903;2960416;2,960416
34;32;20921;20903;1650387;1,650387
34;64;20921;20903;1998910;1,998910
34;96;20921;20903;2494833;2,494833
36;32;20921;20903;1671717;1,671717
36;64;20921;20903;2055493;2,055493
36;96;20921;20903;2597041;2,597041
38;32;20921;20903;1689344;1,689344
38;64;20921;20903;2104759;2,104759
38;96;20921;20903;2709332;2,709332
40;32;20921;20903;1706404;1,706404
40;64;20921;20903;2156727;2,156727
40;96;20921;20903;2815196;2,815196
42;32;20921;20903;1717935;1,717935
42;64;20921;20903;2206517;2,206517
42;96;20921;20903;2927354;2,927354
44;32;20921;20903;1737175;1,737175
44;64;20921;20903;2264132;2,264132
46;32;20921;20903;1753994;1,753994
46;64;20921;20903;2325292;2,325292
48;32;20921;20903;1774776;1,774776
48;64;20921;20903;2397604;2,397604
50;32;20921;20903;1797596;1,797596
50;64;20921;20903;2460887;2,460887
52;32;20921;20903;1811456;1,811456
52;64;20921;20903;2523558;2,523558
54;32;20921;20903;1826684;1,826684
54;64;20921;20903;2595554;2,595554
56;32;20921;20903;1853993;1,853993
56;64;20921;20903;2670617;2,670617
58;32;20921;20903;1878315;1,878315
58;64;20921;20903;2737765;2,737765
60;32;20921;20903;1910134;1,910134
60;64;20921;20903;2811091;2,811091
62;32;20921;20903;1923916;1,923916
62;64;20921;20903;2883131;2,883131
64;32;20921;20903;1947205;1,947205
64;64;20921;20903;2954657;2,954657
66;32;20921;20903;1967935;1,967935
68;32;20921;20903;1996611;1,996611
70;32;20921;20903;2029569;2,029569
72;32;20921;20903;2053985;2,053985
74;32;20921;20903;2075987;2,075987
76;32;20921;20903;2099066;2,099066
78;32;20921;20903;2124293;2,124293
80;32;20921;20903;2155604;2,155604
82;32;20921;20903;2176235;2,176235
84;32;20921;20903;2201251;2,201251
86;32;20921;20903;2230705;2,230705
88;32;20921;20903;2263905;2,263905
90;32;20921;20903;2300386;2,300386
92;32;20921;20903;2319730;2,319730
94;32;20921;20903;2355195;2,355195
96;32;20921;20903;2396349;2,396349
98;32;20921;20903;2422247;2,422247
100;32;20921;20903;2461761;2,461761
102;32;20921;20903;2491092;2,491092
104;32;20921;20903;2523750;2,523750
106;32;20921;20903;2555895;2,555895
108;32;20921;20903;2591981;2,591981
110;32;20921;20903;2631692;2,631692
112;32;20921;20903;2668662;2,668662
114;32;20921;20903;2704812;2,704812
116;32;20921;20903;2739721;2,739721
118;32;20921;20903;2792840;2,792840
120;32;20921;20903;2811146;2,811146
122;32;20921;20903;2848753;2,848753
124;32;20921;20903;2881404;2,881404
126;32;20921;20903;2924264;2,924264
128;32;20921;20903;2952822;2,952822
