gridSize;blockSize;p;q;clocks;seconds
28;64;20921;20903;1860375;1.860375
28;96;20921;20903;2206014;2.206014
28;128;20921;20903;2666106;2.666106
30;32;20921;20903;1577947;1.577947
30;64;20921;20903;1910179;1.910179
30;96;20921;20903;2293462;2.293462
30;128;20921;20903;2816547;2.816547
32;32;20921;20903;1634838;1.634838
32;64;20921;20903;1947607;1.947607
32;96;20921;20903;2396982;2.396982
32;128;20921;20903;2961378;2.961378
34;32;20921;20903;1655860;1.655860
34;64;20921;20903;1994726;1.994726
34;96;20921;20903;2490829;2.490829
36;32;20921;20903;1675373;1.675373
36;64;20921;20903;2047207;2.047207
36;96;20921;20903;2598822;2.598822
38;32;20921;20903;1687943;1.687943
38;64;20921;20903;2104374;2.104374
38;96;20921;20903;2708417;2.708417
40;32;20921;20903;1707379;1.707379
40;64;20921;20903;2154995;2.154995
40;96;20921;20903;2820531;2.820531
42;32;20921;20903;1708409;1.708409
42;64;20921;20903;2205191;2.205191
42;96;20921;20903;2919997;2.919997
44;32;20921;20903;1732011;1.732011
44;64;20921;20903;2265399;2.265399
46;32;20921;20903;1751219;1.751219
46;64;20921;20903;2330521;2.330521
48;32;20921;20903;1766626;1.766626
48;64;20921;20903;2397835;2.397835
50;32;20921;20903;1796120;1.796120
50;64;20921;20903;2456443;2.456443
52;32;20921;20903;1814822;1.814822
52;64;20921;20903;2523999;2.523999
54;32;20921;20903;1833431;1.833431
54;64;20921;20903;2596169;2.596169
56;32;20921;20903;1859772;1.859772
56;64;20921;20903;2670490;2.670490
58;32;20921;20903;1879799;1.879799
58;64;20921;20903;2737716;2.737716
60;32;20921;20903;1905155;1.905155
60;64;20921;20903;2815279;2.815279
62;32;20921;20903;1924170;1.924170
62;64;20921;20903;2885844;2.885844
64;32;20921;20903;1945577;1.945577
64;64;20921;20903;2958605;2.958605
66;32;20921;20903;1967927;1.967927
68;32;20921;20903;1992977;1.992977
70;32;20921;20903;2026821;2.026821
72;32;20921;20903;2046748;2.046748
74;32;20921;20903;2078534;2.078534
76;32;20921;20903;2100523;2.100523
78;32;20921;20903;2127069;2.127069
80;32;20921;20903;2154917;2.154917
82;32;20921;20903;2176601;2.176601
84;32;20921;20903;2206512;2.206512
86;32;20921;20903;2235077;2.235077
88;32;20921;20903;2265227;2.265227
90;32;20921;20903;2296179;2.296179
92;32;20921;20903;2321864;2.321864
94;32;20921;20903;2354118;2.354118
96;32;20921;20903;2396284;2.396284
98;32;20921;20903;2425091;2.425091
100;32;20921;20903;2463120;2.463120
102;32;20921;20903;2494165;2.494165
104;32;20921;20903;2523486;2.523486
106;32;20921;20903;2558444;2.558444
108;32;20921;20903;2596041;2.596041
110;32;20921;20903;2632643;2.632643
112;32;20921;20903;2664485;2.664485
114;32;20921;20903;2706539;2.706539
116;32;20921;20903;2741467;2.741467
118;32;20921;20903;2793122;2.793122
120;32;20921;20903;2805353;2.805353
122;32;20921;20903;2849841;2.849841
124;32;20921;20903;2884168;2.884168
126;32;20921;20903;2926823;2.926823
128;32;20921;20903;2957033;2.957033
